year,self_employed,number_of_employees,tech_company,mental_health_benefits,mental_health_benefits_awareness,employer_mental_health_discussion,employer_mental_health_learning_resources,mental_health_treatment_anonymity,mental_health_leave_accessibility,mental_health_discussion_comfort_coworkers,mental_health_discussion_comfort_supervisor
2014,No,100-500,Yes,Yes,Yes,No,No,No,Somewhat difficult,Some of them,Some of them
2014,No,26-100,Yes,Yes,Yes,No,No,Don't know,Don't know,Some of them,Yes
2014,No,More than 1000,No,Don't know,No,No,Don't know,Don't know,Don't know,No,No
2014,No,26-100,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,Yes,Yes
2014,No,More than 1000,No,Yes,Yes,No,Don't know,No,Very easy,Some of them,Yes
2014,No,1-5,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Some of them,No
2014,No,6-25,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Yes,Yes
2014,No,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,Some of them,No
2014,No,6-25,Yes,No,No,No,No,Don't know,Very difficult,Some of them,No
2014,No,6-25,Yes,No,No,No,No,Don't know,Don't know,Some of them,Some of them
2014,No,500-1000,Yes,Don't know,No,No,No,Yes,Somewhat easy,Some of them,Yes
2014,No,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Some of them,Some of them
2014,No,1-5,Yes,Yes,Yes,No,No,Don't know,Don't know,Some of them,No
2014,No,6-25,Yes,No,Yes,No,No,Don't know,Very easy,Yes,Yes
2014,No,1-5,Yes,No,No,No,No,Don't know,Very easy,Some of them,No
2014,No,100-500,Yes,No,Yes,No,No,Don't know,Somewhat easy,Some of them,Some of them
2014,No,100-500,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Some of them,Yes
2014,No,More than 1000,Yes,Yes,Yes,No,Yes,Yes,Very easy,Yes,Yes
2014,No,6-25,Yes,No,No,No,No,Don't know,Don't know,Some of them,No
2014,No,More than 1000,Yes,Yes,Not sure,Don't know,Yes,Don't know,Somewhat difficult,Some of them,No
2014,No,1-5,Yes,No,Yes,No,No,Yes,Very difficult,Some of them,No
